frame,speed_kmh,steer_raw,steer_final,brake_raw,throttle_final,brake_final
0,0.00,-0.0031,-0.0015,0.0156,0.3000,0.0078
1,0.00,-0.0008,-0.0012,0.0031,0.4500,0.0054
2,0.00,+0.0018,+0.0003,0.0012,0.5250,0.0033
3,0.01,+0.0034,+0.0018,0.0008,0.5625,0.0021
4,0.01,+0.0045,+0.0032,0.0008,0.5812,0.0014
5,0.00,+0.0053,+0.0042,0.0007,0.5906,0.0011
6,0.00,+0.0060,+0.0051,0.0007,0.5953,0.0009
7,0.00,+0.0062,+0.0057,0.0007,0.5976,0.0008
8,0.00,+0.0067,+0.0062,0.0007,0.5988,0.0007
9,0.00,+0.0068,+0.0065,0.0007,0.5994,0.0007
10,0.00,+0.0070,+0.0067,0.0006,0.5997,0.0007
11,0.00,+0.0071,+0.0069,0.0007,0.5998,0.0007
12,0.00,+0.0072,+0.0071,0.0007,0.5999,0.0007
13,0.00,+0.0071,+0.0071,0.0007,0.6000,0.0007
14,0.00,+0.0073,+0.0072,0.0007,0.6000,0.0007
15,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
16,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
17,0.00,+0.0073,+0.0072,0.0006,0.6000,0.0006
18,0.00,+0.0073,+0.0073,0.0006,0.6000,0.0006
19,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
20,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
21,0.00,+0.0072,+0.0073,0.0007,0.6000,0.0007
22,0.00,+0.0072,+0.0072,0.0007,0.6000,0.0007
23,0.00,+0.0074,+0.0073,0.0007,0.6000,0.0007
24,0.00,+0.0074,+0.0073,0.0007,0.6000,0.0007
25,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
26,0.00,+0.0074,+0.0074,0.0006,0.6000,0.0007
27,0.00,+0.0073,+0.0074,0.0007,0.6000,0.0007
28,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
29,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
30,0.00,+0.0072,+0.0073,0.0007,0.6000,0.0007
31,0.00,+0.0073,+0.0073,0.0007,0.6000,0.0007
32,0.00,+0.0075,+0.0074,0.0007,0.6000,0.0007
33,0.00,+0.0074,+0.0074,0.0007,0.6000,0.0007
