frame,speed_kmh,steer_raw_nn,pid_steer,lane_error,steer_final,brake_raw,throttle_final,brake_final,steer_source
0,0.00,-0.0007,+0.0020,-0.0484,+0.0020,0.0388,0.6000,0.0388,pid
1,0.00,+0.0048,+0.0014,-0.0422,+0.0014,0.0012,0.6000,0.0012,pid
2,0.05,+0.0023,+0.0018,-0.0406,+0.0018,0.0013,0.5993,0.0013,pid
3,0.03,+0.0030,+0.0022,-0.0422,+0.0022,0.0013,0.5996,0.0013,pid
4,0.02,+0.0034,+0.0012,-0.0344,+0.0012,0.0014,0.5998,0.0014,pid
5,0.00,+0.0032,+0.0028,-0.0422,+0.0028,0.0015,0.6000,0.0015,pid
6,0.00,+0.0046,+0.0025,-0.0437,+0.0025,0.0014,0.6000,0.0014,pid
7,0.00,+0.0040,+0.0013,-0.0344,+0.0013,0.0015,0.6000,0.0015,pid
8,0.00,+0.0035,+0.0032,-0.0437,+0.0032,0.0015,0.6000,0.0015,pid
9,0.00,+0.0050,+0.0022,-0.0406,+0.0022,0.0014,0.6000,0.0014,pid
10,0.00,+0.0040,+0.0023,-0.0391,+0.0023,0.0015,0.6000,0.0015,pid
11,0.00,+0.0040,+0.0031,-0.0437,+0.0031,0.0013,0.6000,0.0013,pid
12,0.00,+0.0045,+0.0026,-0.0422,+0.0026,0.0014,0.6000,0.0014,pid
13,0.00,+0.0039,+0.0027,-0.0406,+0.0027,0.0013,0.6000,0.0013,pid
14,0.00,+0.0042,+0.0040,-0.0500,+0.0040,0.0012,0.6000,0.0012,pid
15,0.00,+0.0048,+0.0028,-0.0453,+0.0028,0.0013,0.6000,0.0013,pid
16,0.00,+0.0043,+0.0019,-0.0344,+0.0019,0.0014,0.6000,0.0014,pid
17,0.00,+0.0037,+0.0031,-0.0359,+0.0031,0.0015,0.6000,0.0015,pid
18,0.00,+0.0045,+0.0043,-0.0469,+0.0043,0.0014,0.6000,0.0014,pid
19,0.00,+0.0049,+0.0034,-0.0453,+0.0034,0.0014,0.6000,0.0014,pid
20,0.00,+0.0046,+0.0032,-0.0422,+0.0032,0.0014,0.6000,0.0014,pid
21,0.00,+0.0048,+0.0037,-0.0437,+0.0037,0.0013,0.6000,0.0013,pid
22,0.00,+0.0053,+0.0039,-0.0453,+0.0039,0.0014,0.6000,0.0014,pid
23,0.00,+0.0051,+0.0033,-0.0406,+0.0033,0.0014,0.6000,0.0014,pid
24,0.00,+0.0049,+0.0040,-0.0437,+0.0040,0.0013,0.6000,0.0013,pid
25,0.00,+0.0049,+0.0032,-0.0391,+0.0032,0.0014,0.6000,0.0014,pid
26,0.00,+0.0044,+0.0030,-0.0344,+0.0030,0.0012,0.6000,0.0012,pid
27,0.00,+0.0050,+0.0037,-0.0375,+0.0037,0.0014,0.6000,0.0014,pid
28,0.00,+0.0047,+0.0044,-0.0453,+0.0044,0.0014,0.6000,0.0014,pid
29,0.00,+0.0049,+0.0042,-0.0484,+0.0042,0.0013,0.6000,0.0013,pid
30,0.00,+0.0052,+0.0026,-0.0375,+0.0026,0.0014,0.6000,0.0014,pid
31,0.00,+0.0048,+0.0039,-0.0406,+0.0039,0.0015,0.6000,0.0015,pid
32,0.00,+0.0054,+0.0042,-0.0453,+0.0042,0.0014,0.6000,0.0014,pid
33,0.00,+0.0056,+0.0033,-0.0406,+0.0033,0.0014,0.6000,0.0014,pid
34,0.00,+0.0042,+0.0042,-0.0453,+0.0042,0.0012,0.6000,0.0012,pid
35,0.00,+0.0055,+0.0029,-0.0375,+0.0029,0.0013,0.6000,0.0013,pid
36,0.00,+0.0043,+0.0042,-0.0437,+0.0042,0.0014,0.6000,0.0014,pid
37,0.00,+0.0055,+0.0045,-0.0500,+0.0045,0.0015,0.6000,0.0015,pid
38,0.00,+0.0052,+0.0025,-0.0375,+0.0025,0.0014,0.6000,0.0014,pid
39,0.00,+0.0041,+0.0044,-0.0453,+0.0044,0.0014,0.6000,0.0014,pid
40,0.00,+0.0087,+0.0029,-0.0375,+0.0029,0.0009,0.6000,0.0009,pid
41,0.00,+0.0008,+0.0046,-0.0469,+0.0046,0.0006,0.6000,0.0006,pid
42,0.00,+0.0052,+0.0003,-0.0172,+0.0003,0.0008,0.6000,0.0008,pid
43,0.00,+0.0009,+0.0044,-0.0312,+0.0044,0.0010,0.6000,0.0010,pid
44,0.00,+0.0027,+0.0049,-0.0453,+0.0049,0.0010,0.6000,0.0010,pid
45,0.00,+0.0040,+0.0042,-0.0484,+0.0042,0.0009,0.6000,0.0009,pid
46,0.00,+0.0046,+0.0030,-0.0406,+0.0030,0.0011,0.6000,0.0011,pid
47,0.00,+0.0050,+0.0038,-0.0422,+0.0038,0.0009,0.6000,0.0009,pid
48,0.00,+0.0060,+0.0033,-0.0391,+0.0033,0.0009,0.6000,0.0009,pid
49,0.00,+0.0059,+0.0028,-0.0328,+0.0028,0.0010,0.6000,0.0010,pid
50,0.00,+0.0054,+0.0046,-0.0437,+0.0046,0.0012,0.6000,0.0012,pid
51,0.00,+0.0066,+0.0037,-0.0437,+0.0037,0.0013,0.6000,0.0013,pid
52,0.00,+0.0053,+0.0039,-0.0453,+0.0039,0.0012,0.6000,0.0012,pid
53,0.00,+0.0057,+0.0033,-0.0406,+0.0033,0.0012,0.6000,0.0012,pid
54,0.00,+0.0052,+0.0042,-0.0453,+0.0042,0.0012,0.6000,0.0012,pid
55,0.00,+0.0057,+0.0033,-0.0406,+0.0033,0.0012,0.6000,0.0012,pid
56,0.00,+0.0046,+0.0047,-0.0500,+0.0047,0.0011,0.6000,0.0011,pid
57,0.00,+0.0064,+0.0034,-0.0453,+0.0034,0.0012,0.6000,0.0012,pid
58,0.00,+0.0051,+0.0025,-0.0344,+0.0025,0.0012,0.6000,0.0012,pid
59,0.00,+0.0050,+0.0045,-0.0437,+0.0045,0.0012,0.6000,0.0012,pid
60,0.00,+0.0057,+0.0043,-0.0484,+0.0043,0.0013,0.6000,0.0013,pid
61,0.00,+0.0053,+0.0023,-0.0344,+0.0023,0.0011,0.6000,0.0011,pid
62,0.00,+0.0040,+0.0043,-0.0422,+0.0043,0.0011,0.6000,0.0011,pid
63,0.00,+0.0058,+0.0039,-0.0437,+0.0039,0.0014,0.6000,0.0014,pid
64,0.00,+0.0054,+0.0037,-0.0437,+0.0037,0.0010,0.6000,0.0010,pid
65,0.00,+0.0047,+0.0030,-0.0375,+0.0030,0.0011,0.6000,0.0011,pid
66,0.00,+0.0042,+0.0048,-0.0484,+0.0048,0.0010,0.6000,0.0010,pid
67,0.00,+0.0058,+0.0024,-0.0359,+0.0024,0.0011,0.6000,0.0011,pid
68,0.00,+0.0039,+0.0046,-0.0453,+0.0046,0.0011,0.6000,0.0011,pid
